,item_name,category,url,food_tips,refrigerator_min_shelf_life,refrigerator_max_shelf_life,pantry_min_shelf_life,pantry_max_shelf_life,freezer_min_shelf_life,freezer_max_shelf_life,storage_locations
217,"PICKLED BEETS, COMMERCIALLY JARRED OR CANNED, SOLD UNREFRIGERATED  - OPENED",Vegetables,https://www.stilltasty.com/Fooditems/index/16519,"Shelf Life Tips
How long do pickled beets last once opened? The precise answer depends to a large extent on storage conditions  - to maximize the shelf life of opened pickled beets keep them refrigerated and tightly covered.

How long do opened pickled beets last in the refrigerator? Pickled beets that have been continuously refrigerated will generally stay at best quality for about 1 to 3 months.

Are opened pickled beets safe to use after the expiration date on the jar or can? Yes, provided they have been stored properly, the jar or can is undamaged, and there are no signs of spoilage (see below) - commercially packaged pickled beets will typically carry a Best By,"" ""Best if Used By,"" Best Before, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the pickled beets will remain at peak quality.

The storage time shown for opened pickled beets is for best quality only - after that, the pickled beets' texture, color or flavor may change, but in most cases, they will still be safe to consume if they have been kept continuously refrigerated, the jar or can is undamaged, and there are no signs of spoilage (see below).

How can you tell if opened pickled beets are bad or spoiled? The best way is to smell and look at the pickled beets: if the pickled beets develop an off odor, flavor or appearance, or if mold appears, they should be discarded.

Discard all pickled beets from jars or cans that are leaking, rusting, bulging or severely dented. ",30,90,,,,,['Refrigerator']
218,"PICKLED BEETS, COMMERCIALLY JARRED OR CANNED, SOLD UNREFRIGERATED  - UNOPENED",Vegetables,https://www.stilltasty.com/Fooditems/index/16520,"Shelf Life Tips
How long does an unopened jar or can or can of pickled beets last? The precise answer depends to a large extent on storage conditions  -to maximize the shelf life of pickled beets store in a cool, dry area.
How long does an unopened jar or can or can of pickled beets last at room temperature? Properly stored, an unopened jar or can of pickled beets will generally stay at best quality for about 12 to 18 months.
Are unopened pickled beets safe to use after the expiration date on the jar or can? Yes, provided  they are properly stored and the jar or can is undamaged  -  commercially packaged pickled beets will typically carry a Best By,"" ""Best if Used By,"" Best Before, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the pickled beets will remain at peak quality.
Storage time shown is for best quality only - after that, the pickled beets' texture, color or flavor may change, but in most cases, they will still be safe to consume if they have been stored properly, the jar or can is undamaged, and there are no signs of spoilage (see below).  
How can you tell if pickled beets are bad or spoiled? The best way is to smell and look at the pickled beets: if pickled beets develop an off odor, flavor or appearance, or if mold appears, they should be discarded.
Discard all pickled beets from jars or cans that are leaking, rusting, bulging or severely dented. ",,,360,540,,,['Pantry']
219,"PICKLED PEPPERS, COMMERCIALLY JARRED, SOLD UNREFRIGERATED  - OPENED",Vegetables,https://www.stilltasty.com/Fooditems/index/17965,"Shelf Life Tips
How long do pickled peppers last once opened? The precise answer depends to a large extent on storage conditions  - to maximize the shelf life of opened pickled peppers keep them refrigerated and tightly covered.

How long do opened pickled peppers last in the refrigerator? Pickled peppers that have been continuously refrigerated will generally stay at best quality for about 1 year.

Are opened pickled peppers safe to use after the expiration date on the jar? Yes, provided they have been stored properly, the jar is undamaged, and there are no signs of spoilage (see below) - commercially packaged pickled peppers will typically carry a Best By,"" ""Best if Used By,"" Best Before, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the pickled peppers will remain at peak quality.

The storage time shown for opened pickled peppers is for best quality only - after that, the pickled peppers' texture, color or flavor may change, but in most cases, they will still be safe to consume if they have been kept continuously refrigerated, the jar is undamaged, and there are no signs of spoilage (see below).

How can you tell if opened pickled peppers are bad or spoiled? The best way is to smell and look at the pickled peppers: if the pickled peppers develop an off odor, flavor or appearance, or if mold appears, they should be discarded. ",365,365,,,,,['Refrigerator']
220,"PICKLED PEPPERS, COMMERCIALLY JARRED, SOLD UNREFRIGERATED  - UNOPENED",Vegetables,https://www.stilltasty.com/Fooditems/index/17966,"Shelf Life Tips
How long does an unopened jar of pickled peppers last? The precise answer depends to a large extent on storage conditions  -to maximize the shelf life of pickled peppers store in a cool, dry area.
How long does an unopened jar of pickled peppers last at room temperature? Properly stored, an unopened jar of pickled peppers will generally stay at best quality for about 2 years.
Are unopened pickled peppers safe to use after the expiration date on the jar? Yes, provided  they are properly stored and the jar is undamaged  -  commercially packaged pickled peppers will typically carry a Best By,"" ""Best if Used By,"" Best Before, or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the pickled peppers will remain at peak quality.
Storage time shown is for best quality only - after that, the pickled peppers' texture, color or flavor may change, but in most cases, they will still be safe to consume if they have been stored properly, the jar is undamaged, and there are no signs of spoilage (see below).  
How can you tell if pickled peppers are bad or spoiled? The best way is to smell and look at the pickled peppers: if pickled peppers develop an off odor, flavor or appearance, or if mold appears, they should be discarded. ",,,730,730,,,['Pantry']
221,"PIMIENTOS (PIMENTOS)  FRESH, RAW",Vegetables,https://www.stilltasty.com/Fooditems/index/17986,"Shelf Life Tips
To freeze: (1) Peel by roasting in 400 to 450 °F oven for 6 to 8 minutes or until skins can be rubbed off;  (2) Remove the charred skins, cut out stems and remove seeds; (3) Let cool and then place in covered airtight containers or heavy-duty freezer bags. Freezer time shown is for best quality only  foods kept constantly frozen at 0° F will keep safe indefinitely. ",7,14,,,300,360,"['Refrigerator', 'Freezer']"
222,"PIMIENTOS (PIMENTOS), COMMERCIALLY  CANNED OR BOTTLED - OPENED",Vegetables,https://www.stilltasty.com/Fooditems/index/17987,"Shelf Life Tips
How long does a can of pimientos last once opened? The precise answer depends to a large extent on storage conditions - keep opened pimientos (pimentos) refrigerated and tightly covered.
To maximize the shelf life of canned pimientos after opening, refrigerate in covered glass or plastic container.
How long do opened canned pimientos last in the refrigerator? Canned pimientos that have been continuously refrigerated will keep for about 3 to 4 days.  
Are canned pimientos safe to use after the ""expiration"" date on the package? Yes, provided they have been stored properly, the can or package is undamaged, and there are no signs of spoilage (see below) - commercially canned pimientos will typically carry a ""Best By,"" ""Best if Used By,""  ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the pimientos will remain at peak quality.
To further extend the shelf life of opened canned pimientos, freeze them: to freeze canned pimientos, place inside covered airtight containers or heavy-duty freezer bags.
The texture of canned pimientos will be softer after freezing and thawing; the thawed pimientos will be best suited to cooked dishes, such as sauces, soups and casseroles.
How long do canned pimientos last in the freezer? Properly stored, they will maintain best quality for about 2 months, but will remain safe beyond that time.
The freezer time shown is for best quality only - pimientos that have been kept constantly frozen at 0°F will keep safe indefinitely. 
How long do canned pimientos last after being frozen and thawed? Pimientos that have been defrosted in the fridge can be kept for an additional 3 to 4 days in the refrigerator before using; pimientos that were thawed in the microwave or in cold water should be used immediately. 
How can you tell if opened canned pimientos are bad or spoiled? The best way is to smell and look at the pimientos: if the pimientos develop an off odor, flavor or appearance, or if mold appears, they should be discarded.
Discard all pimientos from cans or packages that are leaking, rusting, bulging or severely dented. ",3,4,,,30,60,"['Refrigerator', 'Freezer']"
223,"PIMIENTOS (PIMENTOS), COMMERCIALLY  CANNED OR BOTTLED - UNOPENED",Vegetables,https://www.stilltasty.com/Fooditems/index/17988,"Shelf Life Tips
How long do unopened canned pimientos last? The precise answer depends to a large extent on storage conditions - to maximize the shelf life of canned pimientos (pimentos), store in a cool, dry area.
How long does an unopened can of pimientos last at room temperature? Properly stored, an unopened can of pimientos will generally stay at best quality for about 3 to 5 years, although it will usually remain safe to use after that.  
Are unopened canned pimientos safe to use after the ""expiration"" date on the can or package? Yes, provided they are properly stored and the can is undamaged  -  commercially packaged canned pimientos will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the canned pimientos will remain at peak quality.
Storage time shown is for best quality only - after that, the canned pimientos' texture, color or flavor may change, but in most cases, they will still be safe to consume if they have been stored properly, the can is undamaged, and there are no signs of spoilage (see below).  
How can you tell if canned pimientos are bad or spoiled? The best way is to smell and look at the canned pimientos: if the canned pimientos develop an off odor, flavor or appearance, or if mold appears, they should be discarded.
Discard all canned pimientos from cans or packages that are leaking, rusting, bulging or severely dented. ",,,1095,1825,,,['Pantry']
224,"POBLANO PEPPERS  FRESH, RAW, SLICED OR CHOPPED",Vegetables,https://www.stilltasty.com/Fooditems/index/18026,"Shelf Life Tips
How long do chopped fresh poblano peppers last? The precise answer to that question depends to a large extent on storage conditions - keep chopped peppers refrigerated. 
To maximize the shelf life of chopped poblano peppers, refrigerate in covered container or resealable plastic bag or wrap tightly in aluminum foil or plastic wrap.
How long do chopped poblano peppers last in the fridge? Properly stored, chopped peppers will last for 2 to 3 days in the refrigerator.
Can you freeze chopped peppers? Yes, to freeze: Place in airtight containers or heavy-duty freezer bags, or wrap tightly in heavy-duty aluminum foil or plastic wrap.
How long do chopped poblano peppers last in the freezer? Properly stored, they will maintain best quality for about 10 to 12 months, but will remain safe beyond that time.
The freezer time shown is for best quality only - peppers that have been kept constantly frozen at 0°F will keep safe indefinitely. 
How to tell if chopped peppers are bad or spoiled? The best way is to smell and look at the chopped peppers: discard any peppers that have an off smell or appearance; if mold appears, discard the chopped peppers. ",2,3,,,300,360,"['Refrigerator', 'Freezer']"
225,"POBLANO PEPPERS  FRESH, RAW, WHOLE",Vegetables,https://www.stilltasty.com/Fooditems/index/18027,"Shelf Life Tips
How long do raw poblano peppers last in the fridge? The precise answer to that question depends to a large extent on storage conditions - after purchasing, keep poblano peppers refrigerated at all times. 
To maximize the shelf life of raw poblano peppers, store in a paper bag in the vegetable crisper of refrigerator.
How long do raw poblano peppers last in the refrigerator? Properly stored, poblano peppers will usually keep well for 1 week in the fridge.
Can you freeze poblano peppers? Yes, to freeze: Slice or chop the peppers, then place in airtight containers or heavy-duty freezer bags, or wrap tightly in heavy-duty aluminum foil or plastic wrap.
How long do poblano peppers last in the freezer? Properly stored, they will maintain best quality for about 10 to 12 months, but will remain safe beyond that time.
The freezer time shown is for best quality only - poblano peppers that have been kept constantly frozen at 0° F will keep safe indefinitely. 
How to tell if poblano peppers are bad or spoiled? Poblano peppers that are spoiling will typically become soft and discolored; discard any poblano peppers that have an off smell or appearance. ",7,7,,,300,360,"['Refrigerator', 'Freezer']"
226,POTATO SALAD - HOMEMADE OR STORE-PREPARED,Vegetables,https://www.stilltasty.com/Fooditems/index/18079,"Shelf Life Tips
How long does potato salad last in the fridge? The precise answer to that question depends to a large extent on storage conditions - refrigerate potato salad within two hours of preparing or purchasing.

To maximize the shelf life of potato salad for safety and quality, refrigerate the potato salad in airtight containers. 

Properly stored, potato salad will last for 3 to 5 days in the refrigerator.

How long can potato salad be left at room temperature? Bacteria grow rapidly at temperatures between 40 °F and 140 °F; potato salad should be discarded if left out for more than 2 hours at room temperature. 

How to tell if potato salad is bad? If potato salad develops an off odor, flavor or appearance, or if mold appears, it should be discarded; do not taste first. ",3,5,,,,,['Refrigerator']
227,"POTATOES (ALL VARIETIES EXCEPT SWEET POTATOES AND YAMS) - FRESH, COOKED (INCLUDING BAKED, MASHED, SCALLOPED, ROASTED)",Vegetables,https://www.stilltasty.com/Fooditems/index/18081,"Shelf Life Tips
How long do cooked potatoes last in the fridge or freezer? The exact answer to that question depends to a large extent on storage conditions - refrigerate all cooked potatoes (including baked, scalloped, roasted and mashed potatoes) within two hours of cooking.

To maximize the shelf life of cooked potatoes for safety and quality, refrigerate the potatoes in shallow airtight containers or resealable plastic bags. 

Properly stored, cooked potatoes will last for 3 to 5 days in the refrigerator.

How long can cooked potatoes be left at room temperature? Bacteria grow rapidly at temperatures between 40 °F and 140 °F; cooked potatoes should be discarded if left out for more than 2 hours at room temperature. 

Can you freeze whole baked potatoes or boiled potatoes? Whole cooked potatoes will be watery when thawed, and freezing is not recommended.

Can you freeze mashed, roasted or scalloped potatoes? Yes, these types of cooked potatoes freeze well; freeze in covered airtight containers or heavy-duty freezer bags. 

How long do cooked potatoes last in the freezer? Properly stored, they will maintain best quality for 10 to 12 months, but will remain safe beyond that time.
 
The freezer time shown is for best quality only - cooked potatoes that have been kept constantly frozen at 0°F will keep safe indefinitely. 

How long do cooked potatoes last after being frozen and thawed? Cooked potatoes (including mashed, roasted or scalloped potatoes) that have been thawed in the fridge can be kept for an additional 3 to 4 days in the refrigerator before cooking; potatoes that were thawed in the microwave or in cold water should be eaten immediately. 

How to tell if cooked potatoes are bad? The best way is to smell and look at the potatoes: discard any that have an off smell or appearance, do not taste first. ",3,5,,,300,360,"['Refrigerator', 'Freezer']"
228,"POTATOES (ALL VARIETIES EXCEPT SWEET POTATOES AND YAMS) - FRESH, RAW",Vegetables,https://www.stilltasty.com/Fooditems/index/18082,"Shelf Life Tips
How long do potatoes last? The precise answer to that question depends to a large extent on storage conditions - after purchasing, keep potatoes in a dry, dark area. 
Properly stored, raw potatoes will last for 1 to 2 weeks at normal room temperature. 
To maximize the shelf life of potatoes, store in a cool (45-55° F; warmer than the refrigerator, but colder than normal room temperature) dark area; under those storage conditions, potatoes will last about 2 to 3 months.
To further extend shelf life of potatoes, do not store potatoes near onions, as the chemical reaction will speed the spoilage of both; store potatoes in a loosely covered bag or basket to allow for air circulation. 
Should you refrigerate raw potatoes? Whole, raw potatoes should ideally not be refrigerated; doing so can give them a sweet taste and cause them to darken when cooked.
*If you must refrigerate raw potatoes (eg, due to a lack of pantry storage space or hot, humid room conditions), the potatoes will last for about 3 to 4 weeks in the fridge, but will likely develop a sweet taste and darken when cooked; this effect can sometimes be offset by storing the potatoes at room temperature for a few days after removing them from the fridge.
How long do raw potatoes last after they've been cut? Cover the cut, raw potatoes completely with cold water and refrigerate; use the cut potatoes within 24 hours.
How long do potatoes last in the fridge once they have been cooked? Cooked potatoes will usually stay good for 3 to 5 days in the refrigerator and 10 to 12 months in the freezer.
Can you freeze raw potatoes? Raw potatoes do not freeze well; to further extend the shelf life of potatoes, cook them first before freezing. 
To freeze cooked potatoes: (1) Wash, peel and boil potatoes until tender; (2) Mash potatoes and allow to cool; (3) Place in covered airtight containers or heavy-duty freezer bags.
 How long do potatoes last once they have been cooked and stored in the freezer? Frozen cooked potatoes will stay at best quality for 10 to 12 months. 
The freezer time shown is for best quality only - foods kept constantly frozen at 0°F will keep safe indefinitely. 
How to tell if potatoes are bad or spoiled? Potatoes that are spoiling will typically become soft, discolored and withered; sprouts are an indication that the potato is trying to grow and can signal a deterioration in quality, but they are not harmful and can simply be removed before cooking. ",21,28,7,14,300,360,"['Pantry', 'Refrigerator', 'Freezer']"
229,POTATOES - COMMERCIALLY FROZEN,Vegetables,https://www.stilltasty.com/Fooditems/index/18080,"Shelf Life Tips
How long do frozen potatoes last? The precise answer to that question depends to a large extent on storage conditions - keep potatoes frozen at all times.

Properly stored, frozen potatoes will maintain best quality for about 12 months in the freezer, although they will usually remain safe to eat after that.  

Are frozen potatoes safe to eat after the expiration date on the package? Yes, if properly stored  -  commercially frozen potatoes will typically carry a Best By, Best if Used By, Best Before, or Best When Used By date but this is not a safety date, it is the manufacturer's estimate of how long the frozen potatoes will remain at peak quality.
 
How long will frozen potatoes remain safe to eat? Frozen potatoes that have been kept constantly frozen at 0°F will keep safe indefinitely, as long as they have been stored properly and the package is not damaged.

How long can you safely leave frozen potatoes at room temperature? Frozen potatoes should be discarded if left for more than 6 hours at room temperature, as bacteria grow rapidly at temperatures between 40 °F and 140 °F. 

How to tell if frozen potatoes are no longer good?  If dry spots or discolorations have developed on the frozen potatoes, freezer burn has begun to set in - this will not make the frozen potatoes unsafe to eat, but it will harm the texture and taste. ",,,,,300,360,['Freezer']
230,"POTATOES, COMMERCIALLY CANNED OR BOTTLED  OPENED",Vegetables,https://www.stilltasty.com/Fooditems/index/18083,"Shelf Life Tips
How long does a can of potatoes last once opened? The precise answer depends to a large extent on storage conditions - keep opened potatoes refrigerated and tightly covered.
To maximize the shelf life of canned potatoes after opening, refrigerate in covered glass or plastic container.
How long do opened canned potatoes last in the refrigerator? Canned potatoes that have been continuously refrigerated will keep for about 3 to 4 days.  
Are canned potatoes safe to use after the ""expiration"" date on the package? Yes, provided they have been stored properly, the can or package is undamaged, and there are no signs of spoilage (see below) - commercially canned potatoes will typically carry a ""Best By,"" ""Best if Used By,""  ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the potatoes will remain at peak quality.
To further extend the shelf life of opened canned potatoes, freeze them: to freeze canned potatoes, place inside covered airtight containers or heavy-duty freezer bags.
The texture of canned potatoes will be softer after freezing and thawing; the thawed potatoes will be best suited to cooked dishes, such as sauces, soups and casseroles.
How long do canned potatoes last in the freezer? Properly stored, they will maintain best quality for about 2 months, but will remain safe beyond that time.
The freezer time shown is for best quality only - potatoes that have been kept constantly frozen at 0°F will keep safe indefinitely. 
How long do canned potatoes last after being frozen and thawed? Potatoes that have been defrosted in the fridge can be kept for an additional 3 to 4 days in the refrigerator before using; potatoes that were thawed in the microwave or in cold water should be used immediately. 
How can you tell if opened canned potatoes are bad or spoiled? The best way is to smell and look at the potatoes: if the potatoes develop an off odor, flavor or appearance, or if mold appears, they should be discarded.
Discard all potatoes from cans or packages that are leaking, rusting, bulging or severely dented. ",3,4,,,30,60,"['Refrigerator', 'Freezer']"
231,"POTATOES, COMMERCIALLY CANNED OR BOTTLED  UNOPENED",Vegetables,https://www.stilltasty.com/Fooditems/index/18084,"Shelf Life Tips
How long do unopened canned potatoes last? The precise answer depends to a large extent on storage conditions - to maximize the shelf life of canned potatoes, store in a cool, dry area.
How long does an unopened can of potatoes last at room temperature? Properly stored, an unopened can of potatoes will generally stay at best quality for about 3 to 5 years, although it will usually remain safe to use after that.  
Are unopened canned potatoes safe to use after the ""expiration"" date on the can or package? Yes, provided they are properly stored and the can is undamaged  -  commercially packaged canned potatoes will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the canned potatoes will remain at peak quality.
Storage time shown is for best quality only - after that, the canned potatoes' texture, color or flavor may change, but in most cases, they will still be safe to consume if they have been stored properly, the can is undamaged, and there are no signs of spoilage (see below).  
How can you tell if canned potatoes are bad or spoiled? The best way is to smell and look at the canned potatoes: if the canned potatoes develop an off odor, flavor or appearance, or if mold appears, they should be discarded.
Discard all canned potatoes from cans or packages that are leaking, rusting, bulging or severely dented. ",,,1095,1825,,,['Pantry']
232,"POTATOES, PACKAGED INSTANT MIX  UNOPENED OR OPENED",Vegetables,https://www.stilltasty.com/Fooditems/index/18085,"Shelf Life Tips
How long does a package of instant mashed potatoes last? The precise answer depends to a large extent on storage conditions  - to maximize the shelf life of instant mashed potatoes  store in a cool, dry area.
How long do instant mashed potatoes last at room temperature? Properly stored, a package of instant mashed potatoes will generally stay at best quality for about 12-18 months at room temperature.
To maximize the shelf life of instant mashed potatoes once the package is opened, transfer instant mashed potatoes to a covered airtight container or place original instant mashed potatoes bag in a resealable plastic freezer bag.
Are instant mashed potatoes safe to use after the ""expiration"" date on the package? Yes, provided it is properly stored and the package is undamaged  -  commercially packaged instant mashed potatoes will typically carry a "" Best By,"" ""Best if Used By,"" ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the instant mashed potatoes will remain at peak quality.
Storage time shown is for best quality only - after that, the instant mashed potatoes mix's texture, color or flavor may change, but in most cases, it will still be safe to consume if it has been stored properly, the package is undamaged, and there are no signs of spoilage (see below).  
How can you tell if instant mashed potatoes are bad or spoiled? The best way is to smell and look at the instant mashed potatoes mix: if the instant mashed potatoes develop an off odor, flavor or appearance, or if mold appears, they should be discarded. ",,,360,540,,,['Pantry']
233,"PUMPKIN  FRESH, COOKED",Vegetables,https://www.stilltasty.com/Fooditems/index/18118,"Shelf Life Tips
Refrigerate within two hours of cooking. Refrigerate in covered container or wrap tightly with heavy-duty aluminum foil or plastic wrap. Freeze in covered airtight containers or heavy-duty freezer bags. Freezer time shown is for best quality only  foods kept constantly frozen at 0° F will keep safe indefinitely. ",3,5,,,300,360,"['Refrigerator', 'Freezer']"
234,"PUMPKIN  FRESH, RAW, CUT UP",Vegetables,https://www.stilltasty.com/Fooditems/index/18119,"Shelf Life Tips
Refrigerate in covered container or wrap in aluminum foil or plastic wrap.  To freeze: (1) Cut pumpkin into sections and remove seeds; (2) Cook pumpkin until soft; (3)  Remove pumpkin pulp from rind and mash; (4) Let cool and then place in covered airtight containers or heavy-duty freezer bags. Freezer time shown is for best quality only  foods kept constantly frozen at 0° F will keep safe indefinitely. ",2,4,,,300,360,"['Refrigerator', 'Freezer']"
235,"PUMPKIN - FRESH, RAW, WHOLE",Vegetables,https://www.stilltasty.com/Fooditems/index/18120,"Shelf Life Tips
Pantry time shown is for storage in a cool (50Â° - 60°F) dry area; if kept at normal room temperature, storage times will be shorter. Refrigeration is not recommended, as it will harm the texture and flavor. To freeze: (1) Cut pumpkin into sections and remove seeds; (2) Cook pumpkin until soft; (3)  Remove pumpkin pulp from rind and mash; (4) Let cool and then place in covered airtight containers or heavy-duty freezer bags. Freezer time shown is for best quality only - foods kept constantly frozen at 0°F will keep safe indefinitely. ",,,30,60,300,360,"['Pantry', 'Freezer']"
236,"PUMPKIN, CANDIED  UNOPENED OR OPENED PACKAGE",Vegetables,https://www.stilltasty.com/Fooditems/index/18125,"Shelf Life Tips
Store in covered container in cool, dry place. ",,,360,360,,,['Pantry']
237,"PUMPKIN, COMMERCIALLY CANNED OR BOTTLED  OPENED",Vegetables,https://www.stilltasty.com/Fooditems/index/18126,"Shelf Life Tips
How long does a can of pumpkin last once opened? The precise answer depends to a large extent on storage conditions - keep opened pumpkin refrigerated and tightly covered.
To maximize the shelf life of canned or packaged pumpkin after opening, refrigerate in a covered glass or plastic container.
How long does opened canned pumpkin last in the refrigerator? Pumpkin that has been continuously refrigerated will keep for about 5 to 7 days.  
Is canned pumpkin safe to use after the ""expiration"" date on the package? Yes, provided it has been stored properly, the package is undamaged, and there are no signs of spoilage (see below) - commercially packaged pumpkin will typically carry a ""Best By,"" ""Best if Used By,""  ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the pumpkin will remain at peak quality.
To further extend the shelf life of opened canned pumpkin, freeze it: to freeze pumpkin, place inside covered airtight containers or heavy-duty freezer bags.
How long does canned pumpkin last in the freezer? Properly stored, it will maintain best quality for about 3 months, but will remain safe beyond that time.
The freezer time shown is for best quality only - pumpkin that has been kept constantly frozen at 0°F will keep safe indefinitely. 
How long does canned pumpkin last after being frozen and thawed? Canned pumpkin that has been defrosted in the fridge can be kept for an additional 3 to 4 days in the refrigerator before using; pumpkin that was thawed in the microwave or in cold water should be used immediately. 
How can you tell if opened canned pumpkin is bad or spoiled? The best way is to smell and look at the pumpkin: if the pumpkin develops an off odor, flavor or appearance, or if mold appears, it should be discarded.
Discard all pumpkin from cans or packages that are leaking, rusting, bulging or severely dented. ",5,7,,,60,90,"['Refrigerator', 'Freezer']"
238,"PUMPKIN, COMMERCIALLY CANNED OR BOTTLED  UNOPENED",Vegetables,https://www.stilltasty.com/Fooditems/index/18127,"Shelf Life Tips
How long does unopened canned pumpkin last? The precise answer depends to a large extent on storage conditions - to maximize shelf life, store in a cool, dry area.
How long does unopened canned pumpkin last at room temperature? Properly stored, unopened canned pumpkin will generally stay at best quality for about 3 to 5 years, although it will usually remain safe to use after that.  
Is unopened canned pumpkin safe to use after the ""expiration"" date on the can or package? Yes, provided it is properly stored and the can is undamaged  -  commercially packaged canned pumpkin will typically carry a ""Best By,"" ""Best if Used By,"" ""Best Before"", or ""Best When Used By"" date but this is not a safety date, it is the manufacturer's estimate of how long the canned pumpkin will remain at peak quality.
Storage time shown is for best quality only - after that, the canned pumpkin's texture, color or flavor may change, but in most cases, it will still be safe to consume if it has been stored properly, the can is undamaged, and there are no signs of spoilage (see below).  
How can you tell if canned pumpkin is bad or spoiled? The best way is to smell and look at the canned pumpkin: if the canned pumpkin develops an off odor, flavor or appearance, or if mold appears, it should be discarded.
Discard all canned pumpkin from cans or packages that are leaking, rusting, bulging or severely dented. ",,,1095,1825,,,['Pantry']
239,"RADICCHIO  FRESH, RAW",Vegetables,https://www.stilltasty.com/Fooditems/index/18139,"Shelf Life Tips
How long does radicchio last in the fridge? The precise answer to that question depends to a large extent on storage conditions - after purchasing, keep radicchio refrigerated at all times. 

To maximize the shelf life of radicchio, refrigerate in a tightly closed plastic bag and do not wash the radicchio until ready to eat.

How long does radicchio last in the refrigerator? Properly stored, radicchio will usually keep well for about 3 to 5 days in the fridge.

Can you freeze radicchio? Radicchio does not freeze well and freezing is not recommended for quality purposes.

How to tell if radicchio is bad or spoiled? The best way is to smell and look at the radicchio: discard any radicchio that has an off smell or appearance; if mold appears, discard the Radicchio. ",3,5,,,,,['Refrigerator']
240,"RADISHES  FRESH, RAW",Vegetables,https://www.stilltasty.com/Fooditems/index/18140,"Shelf Life Tips
How long do radishes last? The precise answer to that question depends to a large extent on storage conditions - keep radishes refrigerated. 
To maximize the shelf life of radishes, refrigerate in plastic bag. 
How long do radishes last in the fridge? Properly stored, radishes will last for about 10 to 14 days in the refrigerator. 
Can you freeze radishes? Radishes do not freeze well and freezing is not recommended for quality purposes.
How to tell if radishes are bad or spoiled? The best way is to smell and look at the radishes: discard any radishes that have an off smell or appearance; if mold appears, discard the radishes. ",10,14,,,,,['Refrigerator']
241,"RHUBARB - FRESH, RAW",Vegetables,https://www.stilltasty.com/Fooditems/index/18176,"Shelf Life Tips
How long does rhubarb last? The precise answer to that question depends to a large extent on storage conditions - after purchasing, keep rhubarb refrigerated at all times. 
To maximize the shelf life of rhubarb, refrigerate in plastic bag and do not wash until ready to eat.
How long does rhubarb last in the fridge? Properly stored, rhubarb will usually keep well for about 5 to 7 days in the refrigerator.
Can you freeze rhubarb? Yes, to freeze: (1) Wash thoroughly and cut off woody stems; (2) Blanch (plunge into boiling water) for two minutes and chill quickly in ice cold water; (3) Drain off excess moisture, package in airtight containers or freezer bags and freeze immediately. 
How long does rhubarb last in the freezer? Properly stored, rhubarb will maintain best quality in the freezer for about 12 months, but will remain safe beyond that time.
The freezer time shown is for best quality only - rhubarb that has been kept constantly frozen at 0°F will keep safe indefinitely. 
How to tell if rhubarb is bad or spoiled? Rhubarb that is spoiling will typically become soft and discolored; discard any rhubarb that has an off smell or appearance. ",5,7,,,300,360,"['Refrigerator', 'Freezer']"
242,"RUTABAGAS - FRESH, COOKED",Vegetables,https://www.stilltasty.com/Fooditems/index/18215,"Shelf Life Tips
How long do cooked rutabagas last in the fridge or freezer? The exact answer to that question depends to a large extent on storage conditions - refrigerate rutabagas within two hours of cooking.

To maximize the shelf life of cooked rutabagas for safety and quality, refrigerate the rutabagas in shallow airtight containers or resealable plastic bags. 

Properly stored, cooked rutabagas will last for 3 to 5 days in the refrigerator.

How long can cooked rutabagas be left at room temperature? Bacteria grow rapidly at temperatures between 40 °F and 140 °F; cooked rutabagas should be discarded if left out for more than 2 hours at room temperature. 

To further extend the shelf life of cooked rutabagas, freeze them; freeze in covered airtight containers or heavy-duty freezer bags. 

How long do cooked rutabagas last in the freezer? Properly stored, they will maintain best quality for 8 to 10 months, but will remain safe beyond that time.
 
The freezer time shown is for best quality only - cooked rutabagas that have been kept constantly frozen at 0°F will keep safe indefinitely. 

How long do cooked rutabagas last after being frozen and thawed? Cooked rutabagas that have been thawed in the fridge can be kept for an additional 3 to 4 days in the refrigerator before cooking; rutabagas that were thawed in the microwave or in cold water should be eaten immediately. 

How to tell if cooked rutabagas are bad? The best way is to smell and look at the rutabagas: discard any that have an off smell or appearance, do not taste first. ",3,5,,,240,300,"['Refrigerator', 'Freezer']"
